tick,arrived,cumulative_avg,windowed_avg,min_time,max_time,p95_time,throughput,rush_level,system_cost,total_delay,active_vehicles,reroutes
1,0,0,0,0,0,0,0,0.013563,499700,0,50015,0
50,852,3.53662,4.918,0.7,5,5,17.04,0.451855,475353,1330.25,49163,3608
100,2470,6.18571,9.915,0.7,10,10,24.7,0.40269,461651,9131.96,47564,3608
200,5614,11.0874,19.85,0.7,20,20,28.07,0.341226,433417,45604,44467,3608
300,7605,14.7897,29.7801,0.7,30.0001,30.0001,25.35,0.348203,413760,87731.4,42520,13184
400,9483,18.7738,39.8359,0.7,40,40,23.7075,0.344873,395675,145452,40669,18359
500,11350,23.0209,49.7849,0.7,49.9998,49.9998,22.7,0.301175,379013,220091,38814,18359
600,13140,27.3428,59.7646,0.7,59.9997,59.9997,21.9,0.295268,361283,310295,37036,18359
700,14905,31.8328,69.5905,0.7,69.9995,69.8995,21.2929,0.294925,343885,417038,35300,18359
800,16417,35.8125,79.3524,0.7,79.9994,79.8994,20.5212,0.315324,328448,522273,33833,25083
900,17885,39.8203,89.6242,0.7,89.9992,89.9992,19.8722,0.310596,314542,638471,32411,34517
1000,19368,44.0071,98.7081,0.7,99.999,99.999,19.368,0.274762,301020,769847,30961,52634
1100,20862,48.4045,109.74,0.7,109.999,109.999,18.9655,0.238092,287709,919124,29482,62926
1200,22180,52.4025,119.8,0.7,119.999,119.999,18.4833,0.246242,274368,1.06484e+06,28175,81425
1300,23415,56.2201,129.386,0.7,129.999,129.899,18.0115,0.221448,262613,1.21293e+06,26963,91924
1400,24537,59.8116,139.572,0.7,139.999,139.899,17.5264,0.234279,251857,1.35723e+06,25883,103184
1500,25718,63.7157,149.693,0.7,150,150,17.1453,0.244626,239709,1.52087e+06,24750,103184
1600,26866,67.6013,159.373,0.7,160.001,160.001,16.7913,0.248189,228312,1.69027e+06,23602,103184
1700,28055,71.7405,169.456,0.7,170.001,169.901,16.5029,0.248088,216388,1.87908e+06,22413,103184
1800,29196,75.7925,179.494,0.7,180.002,180.002,16.22,0.210123,206070,2.07119e+06,21272,105275
1900,30106,79.1095,189.543,0.7,190.002,189.902,15.8453,0.177837,198765,2.23366e+06,20362,105275
2000,30886,82.0421,199.493,0.7,200.003,200.003,15.443,0.158082,191834,2.38066e+06,19582,105275
2100,31540,84.5982,209.751,0.7,210.004,210.004,15.019,0.162703,185192,2.51071e+06,18928,105275
2200,32257,87.5094,219.273,0.7,220.004,220.004,14.6623,0.155152,178011,2.6607e+06,18211,105275
2300,32867,90.068,229.174,0.7,230.005,230.005,14.29,0.184829,170836,2.79414e+06,17601,107010
2400,33489,92.7464,238.849,0.7,240.005,239.905,13.9537,0.18101,165965,2.93594e+06,16979,108528
2500,34101,95.4858,249.351,0.7,250.006,250.006,13.6404,0.176934,160246,3.08193e+06,16367,112796
2600,34725,98.3626,259.394,0.7,260.007,260.007,13.3558,0.181464,153737,3.23754e+06,15743,115000
2700,35301,101.089,269.2,0.7,270.007,270.007,13.0744,0.198101,147549,3.38656e+06,15167,117275
2800,35931,104.134,279.365,0.7,280.008,279.908,12.8325,0.185443,141661,3.55566e+06,14537,118303
2900,36563,107.262,289.356,0.7,290.008,290.008,12.6079,0.184647,135226,3.73181e+06,13905,118303
3000,37182,110.384,299.325,0.7,300.009,300.009,12.394,0.166239,129613,3.91049e+06,13286,119227
3100,37742,113.276,308.838,0.7,310.01,309.91,12.1748,0.16656,123973,4.07772e+06,12726,121111
3200,38302,116.227,318.644,0.7,320.01,320.01,11.9694,0.211526,116934,4.25073e+06,12166,121111
3300,38967,119.786,329.666,0.7,330.011,330.011,11.8082,0.169631,111563,4.46273e+06,11501,121111
3400,39519,122.793,339.079,0.7,340.012,340.012,11.6232,0.181384,105743,4.64408e+06,10949,121111
3500,40161,126.339,348.793,0.7,350.012,350.012,11.4746,0.16547,100019,4.86112e+06,10307,121856
3600,40663,129.158,358.604,0.7,359.813,359.713,11.2953,0.175801,94354.6,5.03607e+06,9805,122566
3700,41299,132.783,368.994,0.7,370.013,369.813,11.1619,0.164663,88218.6,5.26376e+06,9169,122566
3800,41920,136.357,379.484,0.7,380.014,380.014,11.0316,0.148718,82541.8,5.49181e+06,8548,122566
3900,42405,139.187,383.55,0.7,390.015,389.915,10.8731,0.128953,78244.8,5.67507e+06,8063,122566
4000,42884,141.993,377.113,0.7,400.015,400.015,10.721,0.124119,73714.4,5.85919e+06,7584,122566
4100,43301,144.526,408.732,0.7,410.016,410.016,10.5612,0.116747,69724.1,6.02551e+06,7167,122566
4200,43724,147.147,418.803,0.7,420.016,420.016,10.4105,0.112019,65611.4,6.1987e+06,6744,122566
4300,44123,149.665,429.038,0.7,430.017,430.017,10.2612,0.109696,61739,6.36616e+06,6345,122566
4400,44501,152.093,439.253,0.7,440.018,440.018,10.1139,0.120192,57680.2,6.52866e+06,5967,122566
4500,44884,154.591,448.936,0.7,450.018,449.918,9.97422,0.125801,53611.8,6.69682e+06,5584,122566
4600,45286,157.255,458.62,0.7,460.019,459.919,9.84478,0.124279,49634.7,6.87721e+06,5182,122566
4700,45693,159.994,468.807,0.7,470.019,470.019,9.72192,0.120673,45664.7,7.06396e+06,4775,122566
4800,46121,162.92,478.987,0.7,480.02,480.02,9.60854,0.11274,41611.8,7.26474e+06,4347,122566
4900,46525,165.724,489.225,0.7,490.021,490.021,9.4949,0.112179,37609.5,7.4586e+06,3943,122566
5000,46904,168.389,499.246,0.7,500.021,500.021,9.3808,0.120353,33610.2,7.64411e+06,3564,122566
5100,47294,171.165,509.088,0.7,510.022,510.022,9.27333,0.122356,29611.4,7.83885e+06,3174,122566
5200,47669,173.865,518.213,0.7,520.02,519.92,9.16712,0.127484,25666,8.02957e+06,2799,122566
5300,48089,176.929,528.527,0.7,530.018,529.918,9.0734,0.120753,21734.4,8.2474e+06,2379,122566
5400,48509,180.033,538.75,0.7,540.015,540.015,8.98315,0.115625,17612.4,8.46968e+06,1959,122566
5500,48933,183.202,549.102,0.7,550.013,550.013,8.89691,0.109936,13609.3,8.69858e+06,1535,122566
5600,49298,185.961,559.153,0.7,560.01,560.01,8.80321,0.120753,9610.54,8.89928e+06,1170,122566
5700,49688,188.919,562.557,0.7,570.008,569.908,8.71719,0.123878,5611.95,9.11668e+06,780,122566
5800,50143,192.186,502.547,0.7,577.906,557.911,8.64534,0.106971,1632.46,9.364e+06,325,122566
5900,50453,194.356,531.975,0.7,588.103,588.003,8.55136,0.0709135,20.218,9.53134e+06,15,122566
5935,50468,194.432,515.69,0.7,588.103,588.003,8.50345,0,0,9.53804e+06,0,122566
